City_ID,City,Lat,Lng,MaxTemp,Humidity,Clouds,Wind,Country,Date
161,Pevek,69.7,170.27,258.89,57,36,1.4,RU,Sun Mar 31 23:55:42 2019
162,Dikson,73.51,80.55,271.29,100,68,8.7,RU,Sun Mar 31 23:55:42 2019
163,Nemuro,43.32,145.57,274.15,43,20,5.1,JP,Sun Mar 31 23:00:00 2019
164,Verkhnyaya toyma,62.24,45,271.29,71,0,2.1,RU,Sun Mar 31 23:55:43 2019
165,Mandali,33.75,45.55,287.69,99,92,2.2,IQ,Sun Mar 31 23:55:44 2019
166,Berezovka,57.6,57.31,276.24,90,64,8,RU,Sun Mar 31 23:55:45 2019
167,Fairbanks,64.84,-147.72,276.15,69,1,1.75,US,Sun Mar 31 23:52:15 2019
168,Aklavik,68.22,-135.01,268.15,79,75,3.1,CA,Sun Mar 31 23:16:00 2019
169,Lukuledi,-10.57,38.8,296.79,88,68,1.85,TZ,Sun Mar 31 23:55:47 2019
170,Viedma,-40.81,-62.99,293.04,73,36,4.05,AR,Sun Mar 31 23:55:47 2019
171,Somoto,13.48,-86.58,290.93,84,0,0.45,NI,Sun Mar 31 23:50:57 2019
172,Hasaki,35.73,140.83,286.15,50,75,4.6,JP,Sun Mar 31 23:54:36 2019
173,Balagansk,54.01,103.05,280.19,61,0,3.2,RU,Sun Mar 31 23:55:49 2019
174,Saint-joseph,-21.37,55.62,305.15,58,0,4.1,RE,Sun Mar 31 23:55:11 2019
175,Plettenberg bay,-34.05,23.37,290.24,100,76,11.6,ZA,Sun Mar 31 23:55:51 2019
176,Santa cruz,10.26,-85.58,299.15,61,0,1,CR,Sun Mar 31 23:00:00 2019
177,Hobyo,5.35,48.53,301.09,79,80,4.9,SO,Sun Mar 31 23:55:53 2019
178,Kahului,20.89,-156.47,298.15,69,40,2.1,US,Sun Mar 31 23:53:43 2019
179,Dingle,52.14,-10.27,276.15,86,20,1.5,IE,Sun Mar 31 23:30:00 2019
180,Yarada,17.65,83.27,305.15,62,75,5.1,IN,Sun Mar 31 23:00:00 2019
181,Sol-iletsk,51.16,55,278.09,88,32,5.2,RU,Sun Mar 31 23:55:55 2019
182,Tiksi,71.64,128.87,271.94,74,0,4,RU,Sun Mar 31 23:55:55 2019
183,Nanortalik,60.14,-45.24,269.14,100,20,8.5,GL,Sun Mar 31 23:55:56 2019
184,Ixtapa,20.71,-105.21,294.82,100,5,2.1,MX,Sun Mar 31 23:55:16 2019
185,Nantucket,41.28,-70.1,277.15,74,20,5.7,US,Sun Mar 31 23:55:23 2019
186,Sabang,1.17,120.82,301.19,100,32,3.2,ID,Sun Mar 31 23:55:58 2019
187,Evensk,61.92,159.24,273.34,85,88,8.3,RU,Sun Mar 31 23:55:58 2019
188,Byron bay,-28.65,153.62,298.15,50,40,6.7,AU,Sun Mar 31 23:55:19 2019
189,Monticello,33.63,-91.79,277.15,74,1,2.65,US,Sun Mar 31 23:52:17 2019
190,Bar harbor,44.39,-68.2,275.37,86,90,2.1,US,Sun Mar 31 23:55:17 2019
191,Wum,6.39,10.08,291.74,91,0,0.95,CM,Sun Mar 31 23:56:00 2019
192,Port blair,11.67,92.75,304.15,58,20,3.1,IN,Sun Mar 31 23:00:00 2019
193,Wajima,37.4,136.9,279.15,56,75,3.1,JP,Sun Mar 31 23:00:00 2019
194,Lopandino,52.46,34.82,280.04,69,0,5.9,RU,Sun Mar 31 23:56:01 2019
195,Nanchang,28.68,115.89,291.54,65,0,2.85,CN,Sun Mar 31 23:56:02 2019
196,Comodoro rivadavia,-45.87,-67.48,291.15,48,0,4.1,AR,Sun Mar 31 23:00:00 2019
197,Somanda,-3.37,33.95,294.19,87,36,2.25,TZ,Sun Mar 31 23:56:04 2019
198,Sitka,37.17,-99.65,273.71,66,56,1.34,US,Sun Mar 31 23:46:08 2019
199,Arman,59.7,150.17,270.24,69,76,5,RU,Sun Mar 31 23:56:05 2019
200,Miandoab,36.97,46.1,281.15,75,75,6.2,IR,Sun Mar 31 23:00:00 2019
